iter	Passed	Remaining
1275	1001	568
1276	1002	567
1277	1003	566
1278	1003	565
1279	1004	565
1280	1005	564
1281	1006	563
1282	1007	562
1283	1007	562
1284	1008	561
1285	1009	560
1286	1010	559
1287	1011	558
1288	1011	558
1289	1012	557
1290	1013	556
1291	1014	555
1292	1015	555
1293	1015	554
1294	1016	553
1295	1017	552
1296	1018	551
1297	1018	551
1298	1019	550
1299	1020	549
1300	1021	548
1301	1021	547
1302	1022	547
1303	1023	546
1304	1024	545
1305	1025	544
1306	1025	543
1307	1026	543
1308	1027	542
1309	1028	541
1310	1028	540
1311	1029	539
1312	1030	538
1313	1030	538
1314	1031	537
1315	1032	536
1316	1033	535
1317	1034	535
1318	1034	534
1319	1035	533
1320	1036	532
1321	1037	531
1322	1038	531
1323	1038	530
1324	1039	529
1325	1040	528
1326	1041	528
1327	1041	527
1328	1042	526
1329	1043	525
1330	1044	524
1331	1044	524
1332	1045	523
1333	1046	522
1334	1047	521
1335	1048	520
1336	1048	520
1337	1049	519
1338	1050	518
1339	1051	517
1340	1051	516
1341	1052	516
1342	1053	515
1343	1054	514
1344	1055	513
1345	1055	512
1346	1056	512
1347	1057	511
1348	1058	510
1349	1058	509
1350	1059	509
1351	1060	508
1352	1061	507
1353	1062	506
1354	1062	505
1355	1063	505
1356	1064	504
1357	1065	503
1358	1065	502
1359	1066	501
1360	1067	501
1361	1068	500
1362	1068	499
1363	1069	498
1364	1070	497
1365	1071	497
1366	1072	496
1367	1073	495
1368	1073	495
1369	1074	494
1370	1075	493
1371	1076	492
1372	1076	491
1373	1077	490
1374	1078	490
1375	1079	489
1376	1080	488
1377	1080	487
1378	1081	487
1379	1082	486
1380	1083	485
1381	1083	484
1382	1084	483
1383	1085	483
1384	1086	482
1385	1087	481
1386	1087	480
1387	1088	480
1388	1089	479
1389	1090	478
1390	1091	477
1391	1091	476
1392	1092	476
1393	1093	475
1394	1094	474
1395	1094	473
1396	1095	472
1397	1096	472
1398	1097	471
1399	1097	470
1400	1098	469
1401	1099	468
1402	1100	468
1403	1100	467
1404	1101	466
1405	1102	465
1406	1103	464
1407	1103	464
1408	1104	463
1409	1105	462
1410	1106	461
1411	1107	461
1412	1108	460
1413	1108	459
1414	1109	458
1415	1110	458
1416	1111	457
1417	1112	456
1418	1112	455
1419	1113	454
1420	1114	454
1421	1115	453
1422	1115	452
1423	1116	451
1424	1117	450
1425	1118	450
1426	1119	449
1427	1119	448
1428	1120	447
1429	1121	447
1430	1122	446
1431	1123	445
1432	1123	444
1433	1124	443
1434	1125	443
1435	1126	442
1436	1126	441
1437	1127	440
1438	1128	439
1439	1129	439
1440	1130	438
1441	1131	437
1442	1131	436
1443	1132	436
1444	1133	435
1445	1134	434
1446	1134	433
1447	1135	432
1448	1136	432
1449	1137	431
1450	1138	430
1451	1139	429
1452	1139	429
1453	1140	428
1454	1141	427
1455	1142	426
1456	1143	425
1457	1143	425
1458	1144	424
1459	1145	423
1460	1146	422
1461	1147	422
1462	1148	421
1463	1149	420
1464	1150	419
1465	1150	419
1466	1151	418
1467	1152	417
1468	1153	416
1469	1154	416
1470	1154	415
1471	1155	414
1472	1156	413
1473	1157	413
1474	1158	412
1475	1159	411
1476	1159	410
1477	1160	409
1478	1161	409
1479	1163	408
1480	1163	407
1481	1164	407
1482	1165	406
1483	1166	405
1484	1167	404
1485	1167	403
1486	1168	403
1487	1169	402
1488	1170	401
1489	1171	400
1490	1171	400
1491	1172	399
1492	1173	398
1493	1174	397
1494	1175	397
1495	1176	396
1496	1177	395
1497	1178	394
1498	1179	394
1499	1179	393
1500	1180	392
1501	1181	391
1502	1182	391
1503	1183	390
1504	1184	389
1505	1184	388
1506	1185	387
1507	1186	387
1508	1187	386
1509	1188	385
1510	1188	384
1511	1189	383
1512	1190	383
1513	1191	382
1514	1191	381
1515	1192	380
1516	1193	380
1517	1194	379
1518	1195	378
1519	1196	377
1520	1197	376
1521	1197	376
1522	1198	375
1523	1199	374
1524	1200	373
1525	1201	373
1526	1202	372
1527	1202	371
1528	1203	370
1529	1204	370
1530	1205	369
1531	1206	368
1532	1206	367
1533	1207	366
1534	1208	366
1535	1209	365
1536	1210	364
1537	1210	363
1538	1211	362
1539	1212	362
1540	1213	361
1541	1214	360
1542	1214	359
1543	1215	359
1544	1216	358
1545	1217	357
1546	1218	356
1547	1218	355
1548	1219	355
1549	1220	354
1550	1221	353
1551	1221	352
1552	1222	351
1553	1223	351
1554	1224	350
1555	1225	349
1556	1226	348
1557	1227	348
1558	1227	347
1559	1228	346
1560	1229	345
1561	1230	344
1562	1231	344
1563	1231	343
1564	1232	342
1565	1233	341
1566	1234	341
1567	1235	340
1568	1235	339
1569	1236	338
1570	1237	337
1571	1238	337
1572	1239	336
1573	1240	335
1574	1240	334
1575	1241	334
1576	1242	333
1577	1243	332
1578	1244	331
1579	1244	330
1580	1245	330
1581	1246	329
1582	1247	328
1583	1248	327
1584	1248	327
1585	1249	326
1586	1250	325
1587	1251	324
1588	1252	323
1589	1252	323
1590	1253	322
1591	1254	321
1592	1255	320
1593	1256	319
1594	1257	319
1595	1257	318
1596	1258	317
1597	1259	316
1598	1260	316
1599	1260	315
1600	1261	314
1601	1262	313
1602	1263	312
1603	1264	312
1604	1264	311
1605	1265	310
1606	1266	309
1607	1267	308
1608	1268	308
1609	1269	307
1610	1269	306
1611	1270	305
1612	1271	305
1613	1272	304
1614	1272	303
1615	1273	302
1616	1274	301
1617	1275	301
1618	1276	300
1619	1276	299
1620	1277	298
1621	1278	297
1622	1279	297
1623	1279	296
1624	1280	295
1625	1281	294
1626	1282	293
1627	1283	293
1628	1284	292
1629	1284	291
1630	1285	290
1631	1286	290
1632	1287	289
1633	1287	288
1634	1288	287
1635	1289	286
1636	1290	286
1637	1290	285
1638	1291	284
1639	1292	283
1640	1293	282
1641	1294	282
1642	1294	281
1643	1295	280
1644	1296	279
1645	1297	279
1646	1298	278
1647	1298	277
1648	1299	276
1649	1300	275
1650	1301	275
1651	1302	274
1652	1302	273
1653	1303	272
1654	1304	271
1655	1305	271
1656	1306	270
1657	1306	269
